"sampleID","group","avd"
"B01","A",0.831896430015614
"B02","A",0.964650403805756
"B03","A",0.614900830727695
"B04","A",0.390959877049462
"B05","A",0.499595435738106
"B06","A",0.643895195699199
"B07","A",0.588863681382788
"B08","A",0.4182270579568
"B09","A",0.659991987105251
"B10","A",0.771619596466161
"B11","B",0.719563577320653
"B12","B",0.808774314400316
"B13","B",0.72644261866158
"B14","B",0.635888248819848
"B15","B",0.488556496138254
"B16","B",0.458500287809225
"B17","B",0.522683458550945
"B18","B",0.587861791789749
"B19","B",0.848229290657256
"B20","B",0.663626912744872
"B21","C",0.671092438897876
"B22","C",0.768764393224543
"B23","C",0.713455553228188
"B24","C",0.704466408828184
"B25","C",0.699189924153703
"B26","C",0.692207955994442
"B27","C",0.589117045606894
"B28","C",0.531202719410196
"B29","C",0.479758370537553
"B30","C",0.515825328449934
"B31","D",0.823432952898521
"B32","D",0.755183410193837
"B33","D",0.608298541516491
"B34","D",0.513800317889865
"B35","D",0.649451808881141
"B36","D",0.669617489087662
"B37","D",0.403328967249176
"B38","D",0.807110019482224
"B39","D",0.708777081098092
"B40","D",0.425056452943794
"B41","E",0.485358477305617
"B42","E",0.484792027240297
"B43","E",0.512968669221234
"B44","E",0.484375981763087
"B45","E",0.473119687280419
"B46","E",0.834216002074653
"B47","E",0.817420665635872
"B48","E",0.759304793934286
"B49","E",0.805739602261117
"B50","E",0.864234259612488
"B51","F",0.534063680440642
"B52","F",0.638139772860387
"B53","F",0.992022966320053
"B54","F",0.565872006481949
"B55","F",0.646191912194795
"B56","F",0.757958147587926
"B57","F",0.434088859418575
"B58","F",0.687565401930412
"B59","F",0.496637736970818
"B60","F",0.566700114143252
"B61","G",0.961452452721591
"B62","G",0.980948785346756
"B63","G",0.430397178897818
"B64","G",1.27340299063253
"B65","G",0.40199671071758
"B66","G",0.400877639995325
"B67","G",0.412574497416966
"B68","G",0.459559780103765
"B69","G",0.462011005423647
"B70","G",0.465815523260685
